product_id,name,category,subcategory,brand,description,price_npr,avg_rating,rating_count,tags,is_new_arrival,in_stock
P0028,NepTech Shoes 28,Fashion & Accessories,Shoes,NepTech,Shoes made for Nepali shoppers with reliable quality and local style.,14500,3.9,345,"fashion & accessories, shoes, nepal, neptech, gift",False,True
P0029,Kathmandu Craft Shoes 29,Fashion & Accessories,Shoes,Kathmandu Craft,Shoes made for Nepali shoppers with reliable quality and local style.,899,3.7,125,"fashion & accessories, shoes, nepal, kathmandu craft, gift",False,False
P0030,Sagarmatha Appliances 30,Kitchen & Home,Appliances,Sagarmatha,Appliances made for Nepali shoppers with reliable quality and local style.,6500,3.2,316,"kitchen & home, appliances, nepal, sagarmatha, gift",False,True
P0031,Janakpur Mart Shoes 31,Fashion & Accessories,Shoes,Janakpur Mart,Shoes made for Nepali shoppers with reliable quality and local style.,4200,4.3,189,"fashion & accessories, shoes, nepal, janakpur mart, gift",True,True
P0032,Kathmandu Craft Mobile 32,Electronics,Mobile,Kathmandu Craft,Mobile made for Nepali shoppers with reliable quality and local style.,350,4.8,408,"electronics, mobile, nepal, kathmandu craft, gift",False,True
P0033,Sagarmatha Exam Prep 33,Books & Education,Exam Prep,Sagarmatha,Exam Prep made for Nepali shoppers with reliable quality and local style.,2500,4.7,172,"books & education, exam prep, nepal, sagarmatha, gift",False,True
P0034,Himalaya Bedding 34,Kitchen & Home,Bedding,Himalaya,Bedding made for Nepali shoppers with reliable quality and local style.,1800,3.8,79,"kitchen & home, bedding, nepal, himalaya, gift",True,True
P0035,Kathmandu Craft Metal Craft 35,Handicrafts & Art,Metal Craft,Kathmandu Craft,Metal Craft made for Nepali shoppers with reliable quality and local style.,1800,4.5,401,"handicrafts & art, metal craft, nepal, kathmandu craft, gift",False,True
P0036,Lalitpur Looms Sunglasses 36,Fashion & Accessories,Sunglasses,Lalitpur Looms,Sunglasses made for Nepali shoppers with reliable quality and local style.,350,3.4,13,"fashion & accessories, sunglasses, nepal, lalitpur looms, gift",False,True
P0037,Kathmandu Craft Sunglasses 37,Fashion & Accessories,Sunglasses,Kathmandu Craft,Sunglasses made for Nepali shoppers with reliable quality and local style.,350,4.7,143,"fashion & accessories, sunglasses, nepal, kathmandu craft, gift",False,True
P0038,Kathmandu Craft Headphones 38,Electronics,Headphones,Kathmandu Craft,Headphones made for Nepali shoppers with reliable quality and local style.,14500,5.0,223,"electronics, headphones, nepal, kathmandu craft, gift",False,False
P0039,Janakpur Mart Jewellery 39,Fashion & Accessories,Jewellery,Janakpur Mart,Jewellery made for Nepali shoppers with reliable quality and local style.,2500,5.0,7,"fashion & accessories, jewellery, nepal, janakpur mart, gift",False,True
P0040,NepTech Snacks 40,Daily Groceries,Snacks,NepTech,Snacks made for Nepali shoppers with reliable quality and local style.,1250,3.6,89,"daily groceries, snacks, nepal, neptech, gift",True,True
P0041,Kathmandu Craft Bedding 41,Kitchen & Home,Bedding,Kathmandu Craft,Bedding made for Nepali shoppers with reliable quality and local style.,550,3.6,227,"kitchen & home, bedding, nepal, kathmandu craft, gift",False,True
P0042,Himalaya Lokta Paper 42,Handicrafts & Art,Lokta Paper,Himalaya,Lokta Paper made for Nepali shoppers with reliable quality and local style.,2500,3.3,144,"handicrafts & art, lokta paper, nepal, himalaya, gift",False,True
P0043,Himalaya Exam Prep 43,Books & Education,Exam Prep,Himalaya,Exam Prep made for Nepali shoppers with reliable quality and local style.,1800,4.3,412,"books & education, exam prep, nepal, himalaya, gift",False,True
P0044,Janakpur Mart Woodcraft 44,Handicrafts & Art,Woodcraft,Janakpur Mart,Woodcraft made for Nepali shoppers with reliable quality and local style.,899,4.5,252,"handicrafts & art, woodcraft, nepal, janakpur mart, gift",False,True
P0045,Lalitpur Looms Cookware 45,Kitchen & Home,Cookware,Lalitpur Looms,Cookware made for Nepali shoppers with reliable quality and local style.,899,4.4,9,"kitchen & home, cookware, nepal, lalitpur looms, gift",False,True
P0046,NepTech Appliances 46,Kitchen & Home,Appliances,NepTech,Appliances made for Nepali shoppers with reliable quality and local style.,550,4.8,250,"kitchen & home, appliances, nepal, neptech, gift",False,False
P0047,Janakpur Mart Mobile 47,Electronics,Mobile,Janakpur Mart,Mobile made for Nepali shoppers with reliable quality and local style.,4200,4.8,145,"electronics, mobile, nepal, janakpur mart, gift",True,True
P0048,Janakpur Mart Bags 48,Fashion & Accessories,Bags,Janakpur Mart,Bags made for Nepali shoppers with reliable quality and local style.,350,3.8,266,"fashion & accessories, bags, nepal, janakpur mart, gift",False,True
P0049,Janakpur Mart Spices 49,Daily Groceries,Spices,Janakpur Mart,Spices made for Nepali shoppers with reliable quality and local style.,9800,3.9,98,"daily groceries, spices, nepal, janakpur mart, gift",False,True
P0050,Sagarmatha Mobile 50,Electronics,Mobile,Sagarmatha,Mobile made for Nepali shoppers with reliable quality and local style.,1800,4.7,310,"electronics, mobile, nepal, sagarmatha, gift",False,True
P0051,Lalitpur Looms Decor 51,Kitchen & Home,Decor,Lalitpur Looms,Decor made for Nepali shoppers with reliable quality and local style.,350,4.9,258,"kitchen & home, decor, nepal, lalitpur looms, gift",False,True
P0052,NepTech Kurta 52,Traditional Attire,Kurta,NepTech,Kurta made for Nepali shoppers with reliable quality and local style.,1800,4.1,52,"traditional attire, kurta, nepal, neptech, gift",False,True
P0053,NepTech Children Books 53,Books & Education,Children Books,NepTech,Children Books made for Nepali shoppers with reliable quality and local style.,14500,3.3,365,"books & education, children books, nepal, neptech, gift",False,True
P0054,Janakpur Mart Kurta 54,Traditional Attire,Kurta,Janakpur Mart,Kurta made for Nepali shoppers with reliable quality and local style.,1250,3.6,368,"traditional attire, kurta, nepal, janakpur mart, gift",False,True
P0055,Kathmandu Craft Tea 55,Daily Groceries,Tea,Kathmandu Craft,Tea made for Nepali shoppers with reliable quality and local style.,550,3.5,153,"daily groceries, tea, nepal, kathmandu craft, gift",False,True
P0056,NepTech Headphones 56,Electronics,Headphones,NepTech,Headphones made for Nepali shoppers with reliable quality and local style.,2500,3.8,117,"electronics, headphones, nepal, neptech, gift",True,True
P0057,NepTech Exam Prep 57,Books & Education,Exam Prep,NepTech,Exam Prep made for Nepali shoppers with reliable quality and local style.,550,4.1,388,"books & education, exam prep, nepal, neptech, gift",False,True
P0058,Himalaya Smart Watch 58,Electronics,Smart Watch,Himalaya,Smart Watch made for Nepali shoppers with reliable quality and local style.,9800,4.6,400,"electronics, smart watch, nepal, himalaya, gift",False,True
P0059,Sagarmatha Kurta 59,Traditional Attire,Kurta,Sagarmatha,Kurta made for Nepali shoppers with reliable quality and local style.,4200,4.4,65,"traditional attire, kurta, nepal, sagarmatha, gift",False,True
P0060,Kathmandu Craft Thangka 60,Handicrafts & Art,Thangka,Kathmandu Craft,Thangka made for Nepali shoppers with reliable quality and local style.,4200,4.8,191,"handicrafts & art, thangka, nepal, kathmandu craft, gift",False,False
P0061,Himalaya Rice 61,Daily Groceries,Rice,Himalaya,Rice made for Nepali shoppers with reliable quality and local style.,2500,4.9,334,"daily groceries, rice, nepal, himalaya, gift",False,True
P0062,Himalaya Sunglasses 62,Fashion & Accessories,Sunglasses,Himalaya,Sunglasses made for Nepali shoppers with reliable quality and local style.,550,4.7,307,"fashion & accessories, sunglasses, nepal, himalaya, gift",False,True
P0063,Kathmandu Craft Children Books 63,Books & Education,Children Books,Kathmandu Craft,Children Books made for Nepali shoppers with reliable quality and local style.,350,3.7,246,"books & education, children books, nepal, kathmandu craft, gift",False,True
P0064,NepTech Sunglasses 64,Fashion & Accessories,Sunglasses,NepTech,Sunglasses made for Nepali shoppers with reliable quality and local style.,350,4.7,132,"fashion & accessories, sunglasses, nepal, neptech, gift",True,True
P0065,NepTech Metal Craft 65,Handicrafts & Art,Metal Craft,NepTech,Metal Craft made for Nepali shoppers with reliable quality and local style.,14500,4.0,339,"handicrafts & art, metal craft, nepal, neptech, gift",False,True
P0066,Kathmandu Craft Stationery 66,Books & Education,Stationery,Kathmandu Craft,Stationery made for Nepali shoppers with reliable quality and local style.,550,4.4,261,"books & education, stationery, nepal, kathmandu craft, gift",False,True
P0067,Janakpur Mart Tea 67,Daily Groceries,Tea,Janakpur Mart,Tea made for Nepali shoppers with reliable quality and local style.,899,2.8,335,"daily groceries, tea, nepal, janakpur mart, gift",False,True
P0068,Janakpur Mart Smart Watch 68,Electronics,Smart Watch,Janakpur Mart,Smart Watch made for Nepali shoppers with reliable quality and local style.,2500,5.0,399,"electronics, smart watch, nepal, janakpur mart, gift",False,True
P0069,Lalitpur Looms Jewellery 69,Fashion & Accessories,Jewellery,Lalitpur Looms,Jewellery made for Nepali shoppers with reliable quality and local style.,6500,3.6,351,"fashion & accessories, jewellery, nepal, lalitpur looms, gift",True,True
P0070,Himalaya Snacks 70,Daily Groceries,Snacks,Himalaya,Snacks made for Nepali shoppers with reliable quality and local style.,550,4.9,60,"daily groceries, snacks, nepal, himalaya, gift",False,True
P0071,Himalaya Woodcraft 71,Handicrafts & Art,Woodcraft,Himalaya,Woodcraft made for Nepali shoppers with reliable quality and local style.,899,3.7,169,"handicrafts & art, woodcraft, nepal, himalaya, gift",True,True
P0072,NepTech Mobile 72,Electronics,Mobile,NepTech,Mobile made for Nepali shoppers with reliable quality and local style.,1800,4.6,325,"electronics, mobile, nepal, neptech, gift",False,True
P0073,NepTech Tea 73,Daily Groceries,Tea,NepTech,Tea made for Nepali shoppers with reliable quality and local style.,9800,4.4,77,"daily groceries, tea, nepal, neptech, gift",True,True
P0074,Himalaya Thangka 74,Handicrafts & Art,Thangka,Himalaya,Thangka made for Nepali shoppers with reliable quality and local style.,9800,3.8,281,"handicrafts & art, thangka, nepal, himalaya, gift",True,True
P0075,Kathmandu Craft Bags 75,Fashion & Accessories,Bags,Kathmandu Craft,Bags made for Nepali shoppers with reliable quality and local style.,9800,4.1,106,"fashion & accessories, bags, nepal, kathmandu craft, gift",False,True
P0076,Sagarmatha Daura Suruwal 76,Traditional Attire,Daura Suruwal,Sagarmatha,Daura Suruwal made for Nepali shoppers with reliable quality and local style.,350,5.0,25,"traditional attire, daura suruwal, nepal, sagarmatha, gift",False,True
P0077,Sagarmatha Saree 77,Traditional Attire,Saree,Sagarmatha,Saree made for Nepali shoppers with reliable quality and local style.,6500,3.6,206,"traditional attire, saree, nepal, sagarmatha, gift",True,True
P0078,Kathmandu Craft Sunglasses 78,Fashion & Accessories,Sunglasses,Kathmandu Craft,Sunglasses made for Nepali shoppers with reliable quality and local style.,6500,4.3,213,"fashion & accessories, sunglasses, nepal, kathmandu craft, gift",True,True
P0079,Janakpur Mart Tea 79,Daily Groceries,Tea,Janakpur Mart,Tea made for Nepali shoppers with reliable quality and local style.,4200,5.0,153,"daily groceries, tea, nepal, janakpur mart, gift",True,False
P0080,Kathmandu Craft Snacks 80,Daily Groceries,Snacks,Kathmandu Craft,Snacks made for Nepali shoppers with reliable quality and local style.,6500,4.1,370,"daily groceries, snacks, nepal, kathmandu craft, gift",True,True
P0081,Lalitpur Looms Stationery 81,Books & Education,Stationery,Lalitpur Looms,Stationery made for Nepali shoppers with reliable quality and local style.,4200,5.0,273,"books & education, stationery, nepal, lalitpur looms, gift",False,True
P0082,Himalaya Thangka 82,Handicrafts & Art,Thangka,Himalaya,Thangka made for Nepali shoppers with reliable quality and local style.,899,4.6,370,"handicrafts & art, thangka, nepal, himalaya, gift",False,True
P0083,Sagarmatha Sunglasses 83,Fashion & Accessories,Sunglasses,Sagarmatha,Sunglasses made for Nepali shoppers with reliable quality and local style.,9800,3.6,38,"fashion & accessories, sunglasses, nepal, sagarmatha, gift",False,True
P0084,Lalitpur Looms Appliances 84,Kitchen & Home,Appliances,Lalitpur Looms,Appliances made for Nepali shoppers with reliable quality and local style.,4200,4.3,85,"kitchen & home, appliances, nepal, lalitpur looms, gift",False,True
P0085,Janakpur Mart Exam Prep 85,Books & Education,Exam Prep,Janakpur Mart,Exam Prep made for Nepali shoppers with reliable quality and local style.,9800,4.1,67,"books & education, exam prep, nepal, janakpur mart, gift",True,True
P0086,Himalaya Bags 86,Fashion & Accessories,Bags,Himalaya,Bags made for Nepali shoppers with reliable quality and local style.,9800,4.5,108,"fashion & accessories, bags, nepal, himalaya, gift",False,True
P0087,Himalaya Bedding 87,Kitchen & Home,Bedding,Himalaya,Bedding made for Nepali shoppers with reliable quality and local style.,1250,5.0,263,"kitchen & home, bedding, nepal, himalaya, gift",False,True
P0088,Kathmandu Craft Woodcraft 88,Handicrafts & Art,Woodcraft,Kathmandu Craft,Woodcraft made for Nepali shoppers with reliable quality and local style.,899,4.6,41,"handicrafts & art, woodcraft, nepal, kathmandu craft, gift",False,True
P0089,Kathmandu Craft Snacks 89,Daily Groceries,Snacks,Kathmandu Craft,Snacks made for Nepali shoppers with reliable quality and local style.,2500,4.1,314,"daily groceries, snacks, nepal, kathmandu craft, gift",False,True
P0090,Sagarmatha Decor 90,Kitchen & Home,Decor,Sagarmatha,Decor made for Nepali shoppers with reliable quality and local style.,1800,4.5,376,"kitchen & home, decor, nepal, sagarmatha, gift",False,True
P0091,Himalaya Decor 91,Kitchen & Home,Decor,Himalaya,Decor made for Nepali shoppers with reliable quality and local style.,2500,3.7,111,"kitchen & home, decor, nepal, himalaya, gift",False,True
P0092,Himalaya Cookware 92,Kitchen & Home,Cookware,Himalaya,Cookware made for Nepali shoppers with reliable quality and local style.,6500,3.3,310,"kitchen & home, cookware, nepal, himalaya, gift",False,True
P0093,Himalaya Bags 93,Fashion & Accessories,Bags,Himalaya,Bags made for Nepali shoppers with reliable quality and local style.,899,2.6,35,"fashion & accessories, bags, nepal, himalaya, gift",False,True
P0094,Kathmandu Craft Children Books 94,Books & Education,Children Books,Kathmandu Craft,Children Books made for Nepali shoppers with reliable quality and local style.,2500,4.4,321,"books & education, children books, nepal, kathmandu craft, gift",True,True
P0095,Lalitpur Looms Appliances 95,Kitchen & Home,Appliances,Lalitpur Looms,Appliances made for Nepali shoppers with reliable quality and local style.,1250,5.0,61,"kitchen & home, appliances, nepal, lalitpur looms, gift",False,True
P0096,Himalaya Lokta Paper 96,Handicrafts & Art,Lokta Paper,Himalaya,Lokta Paper made for Nepali shoppers with reliable quality and local style.,6500,4.0,25,"handicrafts & art, lokta paper, nepal, himalaya, gift",False,True
P0097,Himalaya Lokta Paper 97,Handicrafts & Art,Lokta Paper,Himalaya,Lokta Paper made for Nepali shoppers with reliable quality and local style.,1800,3.7,274,"handicrafts & art, lokta paper, nepal, himalaya, gift",False,True
P0098,Lalitpur Looms Bedding 98,Kitchen & Home,Bedding,Lalitpur Looms,Bedding made for Nepali shoppers with reliable quality and local style.,1250,3.4,112,"kitchen & home, bedding, nepal, lalitpur looms, gift",False,True
P0099,Janakpur Mart Smart Watch 99,Electronics,Smart Watch,Janakpur Mart,Smart Watch made for Nepali shoppers with reliable quality and local style.,350,3.2,292,"electronics, smart watch, nepal, janakpur mart, gift",False,True
P0100,Kathmandu Craft Sunglasses 100,Fashion & Accessories,Sunglasses,Kathmandu Craft,Sunglasses made for Nepali shoppers with reliable quality and local style.,1250,4.4,332,"fashion & accessories, sunglasses, nepal, kathmandu craft, gift",False,True
P0101,Kathmandu Craft Metal Craft 101,Handicrafts & Art,Metal Craft,Kathmandu Craft,Metal Craft made for Nepali shoppers with reliable quality and local style.,350,3.6,260,"handicrafts & art, metal craft, nepal, kathmandu craft, gift",False,False
P0102,Janakpur Mart Daura Suruwal 102,Traditional Attire,Daura Suruwal,Janakpur Mart,Daura Suruwal made for Nepali shoppers with reliable quality and local style.,550,2.8,12,"traditional attire, daura suruwal, nepal, janakpur mart, gift",True,True
P0103,Himalaya Mobile 103,Electronics,Mobile,Himalaya,Mobile made for Nepali shoppers with reliable quality and local style.,1250,4.5,272,"electronics, mobile, nepal, himalaya, gift",False,True
P0104,NepTech Snacks 104,Daily Groceries,Snacks,NepTech,Snacks made for Nepali shoppers with reliable quality and local style.,6500,3.4,37,"daily groceries, snacks, nepal, neptech, gift",False,True
P0105,Himalaya Children Books 105,Books & Education,Children Books,Himalaya,Children Books made for Nepali shoppers with reliable quality and local style.,350,4.2,333,"books & education, children books, nepal, himalaya, gift",True,True
P0106,Kathmandu Craft Rice 106,Daily Groceries,Rice,Kathmandu Craft,Rice made for Nepali shoppers with reliable quality and local style.,9800,4.4,417,"daily groceries, rice, nepal, kathmandu craft, gift",False,True
P0107,Janakpur Mart Daura Suruwal 107,Traditional Attire,Daura Suruwal,Janakpur Mart,Daura Suruwal made for Nepali shoppers with reliable quality and local style.,899,4.1,59,"traditional attire, daura suruwal, nepal, janakpur mart, gift",False,True
P0108,Lalitpur Looms Children Books 108,Books & Education,Children Books,Lalitpur Looms,Children Books made for Nepali shoppers with reliable quality and local style.,6500,4.2,266,"books & education, children books, nepal, lalitpur looms, gift",False,True
P0109,NepTech Saree 109,Traditional Attire,Saree,NepTech,Saree made for Nepali shoppers with reliable quality and local style.,899,4.2,378,"traditional attire, saree, nepal, neptech, gift",False,True
P0110,NepTech Rice 110,Daily Groceries,Rice,NepTech,Rice made for Nepali shoppers with reliable quality and local style.,1250,3.8,88,"daily groceries, rice, nepal, neptech, gift",False,True
P0111,Janakpur Mart Dhaka Topi 111,Traditional Attire,Dhaka Topi,Janakpur Mart,Dhaka Topi made for Nepali shoppers with reliable quality and local style.,9800,3.7,103,"traditional attire, dhaka topi, nepal, janakpur mart, gift",False,True
P0112,Sagarmatha Spices 112,Daily Groceries,Spices,Sagarmatha,Spices made for Nepali shoppers with reliable quality and local style.,899,5.0,124,"daily groceries, spices, nepal, sagarmatha, gift",False,True
P0113,Kathmandu Craft Metal Craft 113,Handicrafts & Art,Metal Craft,Kathmandu Craft,Metal Craft made for Nepali shoppers with reliable quality and local style.,4200,5.0,144,"handicrafts & art, metal craft, nepal, kathmandu craft, gift",False,True
P0114,Kathmandu Craft Smart Watch 114,Electronics,Smart Watch,Kathmandu Craft,Smart Watch made for Nepali shoppers with reliable quality and local style.,4200,3.1,308,"electronics, smart watch, nepal, kathmandu craft, gift",False,True
P0115,Lalitpur Looms Jewellery 115,Fashion & Accessories,Jewellery,Lalitpur Looms,Jewellery made for Nepali shoppers with reliable quality and local style.,899,2.7,66,"fashion & accessories, jewellery, nepal, lalitpur looms, gift",False,True
P0116,Himalaya Mobile 116,Electronics,Mobile,Himalaya,Mobile made for Nepali shoppers with reliable quality and local style.,6500,4.8,41,"electronics, mobile, nepal, himalaya, gift",False,True
P0117,Himalaya Cookware 117,Kitchen & Home,Cookware,Himalaya,Cookware made for Nepali shoppers with reliable quality and local style.,350,4.5,419,"kitchen & home, cookware, nepal, himalaya, gift",False,True
P0118,NepTech Tea 118,Daily Groceries,Tea,NepTech,Tea made for Nepali shoppers with reliable quality and local style.,9800,4.0,96,"daily groceries, tea, nepal, neptech, gift",False,True
P0119,Sagarmatha Headphones 119,Electronics,Headphones,Sagarmatha,Headphones made for Nepali shoppers with reliable quality and local style.,4200,3.8,321,"electronics, headphones, nepal, sagarmatha, gift",False,True
P0120,Sagarmatha Saree 120,Traditional Attire,Saree,Sagarmatha,Saree made for Nepali shoppers with reliable quality and local style.,14500,3.8,352,"traditional attire, saree, nepal, sagarmatha, gift",False,True
P0121,Lalitpur Looms Headphones 121,Electronics,Headphones,Lalitpur Looms,Headphones made for Nepali shoppers with reliable quality and local style.,1250,5.0,14,"electronics, headphones, nepal, lalitpur looms, gift",False,True
P0122,NepTech Literature 122,Books & Education,Literature,NepTech,Literature made for Nepali shoppers with reliable quality and local style.,1800,3.5,156,"books & education, literature, nepal, neptech, gift",False,True
P0123,Janakpur Mart Exam Prep 123,Books & Education,Exam Prep,Janakpur Mart,Exam Prep made for Nepali shoppers with reliable quality and local style.,550,4.0,419,"books & education, exam prep, nepal, janakpur mart, gift",False,True
P0124,Janakpur Mart Literature 124,Books & Education,Literature,Janakpur Mart,Literature made for Nepali shoppers with reliable quality and local style.,1800,3.9,147,"books & education, literature, nepal, janakpur mart, gift",False,True
P0125,Sagarmatha Saree 125,Traditional Attire,Saree,Sagarmatha,Saree made for Nepali shoppers with reliable quality and local style.,14500,3.4,22,"traditional attire, saree, nepal, sagarmatha, gift",True,True
P0126,Janakpur Mart Daura Suruwal 126,Traditional Attire,Daura Suruwal,Janakpur Mart,Daura Suruwal made for Nepali shoppers with reliable quality and local style.,14500,3.6,140,"traditional attire, daura suruwal, nepal, janakpur mart, gift",False,True
P0127,Sagarmatha Tea 127,Daily Groceries,Tea,Sagarmatha,Tea made for Nepali shoppers with reliable quality and local style.,550,3.9,315,"daily groceries, tea, nepal, sagarmatha, gift",False,True
P0128,Janakpur Mart Headphones 128,Electronics,Headphones,Janakpur Mart,Headphones made for Nepali shoppers with reliable quality and local style.,1250,4.0,323,"electronics, headphones, nepal, janakpur mart, gift",False,True
P0129,Janakpur Mart Headphones 129,Electronics,Headphones,Janakpur Mart,Headphones made for Nepali shoppers with reliable quality and local style.,1800,3.6,91,"electronics, headphones, nepal, janakpur mart, gift",False,True
P0130,NepTech Jewellery 130,Fashion & Accessories,Jewellery,NepTech,Jewellery made for Nepali shoppers with reliable quality and local style.,9800,4.3,50,"fashion & accessories, jewellery, nepal, neptech, gift",False,True
P0131,Himalaya Bedding 131,Kitchen & Home,Bedding,Himalaya,Bedding made for Nepali shoppers with reliable quality and local style.,6500,3.8,345,"kitchen & home, bedding, nepal, himalaya, gift",False,True
P0132,Sagarmatha Dhaka Topi 132,Traditional Attire,Dhaka Topi,Sagarmatha,Dhaka Topi made for Nepali shoppers with reliable quality and local style.,2500,3.7,312,"traditional attire, dhaka topi, nepal, sagarmatha, gift",True,True
P0133,Sagarmatha Daura Suruwal 133,Traditional Attire,Daura Suruwal,Sagarmatha,Daura Suruwal made for Nepali shoppers with reliable quality and local style.,2500,5.0,148,"traditional attire, daura suruwal, nepal, sagarmatha, gift",False,True
P0134,Janakpur Mart Children Books 134,Books & Education,Children Books,Janakpur Mart,Children Books made for Nepali shoppers with reliable quality and local style.,1800,4.3,136,"books & education, children books, nepal, janakpur mart, gift",False,True
